# 二简词
be	表示
kao	可能
kau	开始
kav	夸张
ki	考虑
kia	看见
kii	刻苦
kio	块钱
kiu	科技
kiv	快点
ko	可是
koa	开心
koi	空间
koo	肯定
kou	看着
kov	渴望
ku	控制
kua	快乐
kui	空白
kuo	可爱
kuu	靠近
kuv	空气
kv	开车
kva	看到
kvi	快速
kvo	看来
kvu	看成
kvv	款式
la	例如
laa	连续
lai	来了
lao	练习
lau	良好
lav	立即
li	两个
lia	类似
lii	令人
lio	两位
liu	老师
liv	联合
lo	老是
loa	理论
loi	力量
loo	厉害
lou	来着
lov	立刻
lu	了解
lua	联系
lui	来自
luo	老爸
luu	懒得
luv	力气
lv	里面
lva	来到
lvi	留下
lvo	领域
lvu	老板
lvv	离开
ma	妈妈
maa	梦乡
mai	妹子
mao	面对
mau	美女
mav	勉强
mi	每个
mia	默默
mii	某个
mio	没错
miu	摸摸
miv	马上
mo	目前
moa	名叫
moi	明显
moo	慢慢
mou	面前
mov	每次
mu	明白
mua	没用
mui	目的
muo	摸索
muu	矛盾
muv	每种
mv	没有
mva	密切
mvi	没事
mvo	描述
mvu	明确
mvv	每天
na	能力
naa	年纪
nai	脑子
nao	难以
nau	你好
nav	农民
ni	你们
nia	那里
nii	那个
nio	那位
niu	难看
niv	那些
no	难道
noa	耐心
noi	那是
noo	难怪
nou	难道
nov	内部
nu	那么
nua	能够
nui	你的
nuo	难受
nuu	难得
nuv	那种
nv	那样
nva	拿到
nvi	难过
nvo	拿来
nvu	能有
nvv	那天
pa	普通
paa	婆婆
pai	牌子
pao	平淡
pau	旁边
pav	啤酒
pi	配合
pia	苹果
pii	评价
pio	平常
piu	拍摄
piv	拼命
po	漂亮
poa	评论
poi	拍照
poo	便宜
pou	判断
pov	片刻
pu	品牌
pua	排名
pui	片段
puo	评分
puu	平衡
puv	皮肤
pv	朋友
pva	跑到
pvi	匹配
pvo	平均
pvu	排列
pvv	平静
qa	逐渐
qaa	情绪
qai	妻子
qao	针对
qau	正好
qav	去那
qi	其他
qia	其中
qii	整个
qio	正常
qiu	掌握
qiv	整体
qo	其实
qoa	区别
qoi	请问
qoo	确实
qou	正义
qov	情况
qu	准备
qua	着急
qui	真的
quo	全都
quu	期待
quv	青年
qv	正在
qva	轻轻
qvi	主要
qvo	起来
qvu	前面
qvv	清楚
ra	人民
raa	热水
rai	日子
rao	人流
rau	人力
rav	人群
ri	如果
ria	如同
rii	让人
rio	如今
riu	软件
riv	任何
ro	认为
roa	认识
roi	容易
roo	人家
rou	人数
rov	任意
ru	然后
rua	任务
rui	热血
ruo	认真
ruu	日后
ruv	人生
rv	然而
rva	柔软
rvi	人才
rvo	认可
rvu	热烈
rvv	让开
sa	所以
saa	送给
sai	算了
sao	所能
sau	散发
sav	随即
si	随便
sia	送回
sii	四个
sio	思念
siu	随手
siv	宿舍
so	随时
soa	所谓
soi	算是
soo	锁定
sou	随着
sov	速度
su	虽然
sua	四周
sui	碎片
suo	似乎
suu	素质
suv	三种
sv	所有
sva	送到
svi	私下
svo	送来
svu	司机
svv	三天
ta	提出
taa	体验
tai	太阳
tao	天赋
tau	头发
tav	淘汰
ti	他们
tia	听见
tii	推荐
tio	她们
tiu	条件
tiv	停止
to	特别
toa	听说
toi	同时
too	天空
tou	提前
tov	同意
tu	他的
tua	突然
tui	她的
tuo	头脑
tuu	特征
tuv	通知
tv	统一
tva	听到
tvi	通过
tvo	同样
tvu	特殊
tvv	天天
wa	为了
waa	网络
wai	充满
wao	温柔
wau	无力
wav	无法
wi	我们
wia	位置
wii	五个
wio	微信
wiu	文件
wiv	晚上
wo	问题
woa	忘记
woi	温暖
woo	晚安
wou	完美
wov	重新
wu	我的
wua	吃饭
wui	冲向
wuo	充分
wuu	往往
wuv	微笑
wv	完成
wva	无比
wvi	无聊
wvo	未来
wvu	外面
wvv	唯一
xa	喜欢
xaa	系统
xai	行了
xao	学习
xau	幸好
xav	而已
xi	而且
xia	效果
xii	羡慕
xio	相信
xiu	选择
xiv	安全
xo	而是
xoa	谢谢
xoi	像是
xoo	心情
xou	想着
xov	希望
xu	许多
xua	想象
xui	休息
xuo	享受
xuu	显得
xuv	下午
xv	现在
xva	想到
xvi	需要
xvo	下来
xvu	下面
xvv	安静
ya	已经
yaa	预测
yai	样子
yao	游戏
yau	一边
yav	一张
yi	一个
yia	意思
yii	有个
yio	一位
yiu	优势
yiv	一些
yo	因为
yoa	应该
yoi	也是
yoo	一定
you	以为
yov	一次
yu	以后
yua	以外
yui	有的
yuo	一直
yuu	一般
yuv	一种
yv	一样
yva	一切
yvi	一下
yvo	一起
yvu	拥有
yvv	一天
za	自己
zaa	最终
zai	做了
zao	足以
zau	最好
zav	增强
zi	自由
zia	再见
zii	作业
zio	咱们
ziu	责任
ziv	早上
zo	总是
zoa	再说
zoi	暂时
zoo	作品
zou	作为
zov	最新
zu	怎么
zua	作用
zui	走向
zuo	最爱
zuu	最后
zuv	总算
zv	咋样
zva	做到
zvi	坐下
zvo	再来
zvu	坐在
zvv	自动
# 单字
b	不
bb	宾
bba	滨
bbi	摈
bbo	斌
bbu	膑
bbv	彬
bc	表
bca	婊
bci	彪
bco	裱
bcu	膘
bcv	标
bd	别
bdo	憋
bdu	癿
bf	办
bfa	绊
bfi	搬
bfo	半
bfu	版
bfv	班
bg	并
bga	屏
bgi	摒
bgo	病
bgu	兵
bgv	柄
bh	白
bha	败
bhi	摆
bho	呗
bhu	稗
bhv	百
bj	部
bji	步
bjo	补
bju	簿
bjv	布
bk	比
bka	避
bki	蔽
bko	必
bku	笔
bkv	毕
bl	拨
bla	波
bli	播
blo	跛
blu	博
blv	玻
bm	变
bma	边
bmi	便
bmo	遍
bmu	笾
bmv	鞭
bn	本
bna	畚
bni	苯
bnu	笨
bnv	奔
bp	帮
bpa	绑
bpi	镑
bpo	谤
bpu	膀
bpv	邦
br	蹦
bra	绷
bri	崩
bro	迸
brv	甭
bs	把
bsa	巴
bsi	拔
bso	吧
bsu	八
bsv	霸
bw	被
bwa	贝
bwi	北
bwo	呗
bwu	备
bwv	杯
bz	报
bza	剥
bzi	保
bzo	宝
bzu	包
bzv	雹
c	才
cb	催
cba	翠
cbi	崔
cbo	啐
cbu	脆
cbv	璀
cd	凑
cdu	腠
cdv	辏
ce	测
cei	侧
ceo	恻
ceu	册
cev	厕
cf	参
cfa	骖
cfi	餐
cfo	惨
cfu	䅟
cfv	残
ch	菜
cha	财
chi	蔡
cho	踩
chu	采
chv	材
cj	粗
cji	促
cjo	蹴
cju	簇
cjv	醋
ck	次
cka	赐
cki	此
cko	词
cku	辞
ckv	刺
cl	错
cli	搓
clo	痤
clu	矬
clv	磋
cn	岑
cna	涔
cp	藏
cpa	沧
cpi	仓
cpu	舱
cpv	臧
cr	曾
cra	层
cri	嶒
cro	蹭
cs	擦
csi	拆
cso	嚓
ct	窜
cti	攒
cto	蹿
ctu	篡
cw	存
cwa	皴
cwo	忖
cwv	村
cy	从
cya	淙
cyi	丛
cyo	悰
cyu	匆
cyv	聪
cz	草
cza	漕
czi	操
czo	糙
czu	艚
czv	曹
d	的
db	对
dba	队
dbi	镦
dbo	兑
dbu	追
dbv	堆
dc	掉
dca	刁
dci	钓
dco	调
dcu	雕
dcv	碉
dd	都
dda	陡
ddi	抖
ddo	斗
ddu	兜
ddv	豆
de	得
dei	锝
deo	嘚
deu	德
dev	地
df	但
dfa	弹
dfi	担
dfo	单
dfu	丹
dfv	耽
dg	定
dgi	盯
dgo	订
dgu	腚
dgv	顶
dh	代
dha	逮
dhi	袋
dho	呆
dhu	待
dhv	带
dj	读
dja	渡
dji	督
djo	度
dju	独
djv	毒
dk	地
dka	滴
dki	低
dko	底
dku	第
dkv	堤
dl	多
dla	堕
dli	铎
dlo	踱
dlu	朵
dlv	夺
dm	点
dma	殿
dmi	电
dmo	店
dmu	颠
dmv	碘
dni	扽
dp	当
dpa	凼
dpi	党
dpo	裆
dpu	筜
dpv	档
dq	丢
dqi	铥
dr	等
dra	登
dri	瞪
dro	灯
drv	磴
ds	大
dsa	妲
dsi	打
dso	瘩
dsu	答
dsv	达
dt	短
dta	缎
dti	锻
dto	断
dtu	段
dtv	椴
dw	顿
dwa	沌
dwi	钝
dwo	吨
dwu	得
dwv	礅
dy	动
dya	洞
dyi	董
dyo	懂
dyu	冬
dyv	东
dz	到
dza	刀
dzi	倒
dzo	道
dzu	岛
dzv	纛
e	是
eb	水
ebi	睡
ebo	谁
ebu	税
ed	收
eda	绶
edi	手
edo	首
edu	受
edv	寿
ee	设
eea	涉
eei	舍
eeo	社
eeu	射
eev	奢
ef	山
efa	陕
efi	擅
efo	善
efu	删
efv	珊
eg	帅
egi	摔
ego	率
egu	甩
eh	晒
ehu	筛
ehv	酾
ej	数
eja	书
eji	叔
ejo	熟
eju	鼠
ejv	树
ek	时
eka	始
eki	使
eko	试
eku	十
ekv	事
el	说
ela	妁
eli	铄
elo	烁
elv	硕
em	双
ema	孀
emv	爽
en	神
ena	深
eni	伸
eno	审
enu	身
env	甚
ep	上
epa	汤
epi	尚
epo	商
epu	觞
epv	墒
eq	刷
eqo	唰
eqv	耍
er	生
era	圣
eri	省
ero	晟
eru	剩
erv	声
es	啥
esa	沙
esi	傻
eso	痧
esu	杀
esv	厦
et	拴
eta	涮
eto	闩
etu	腨
etv	栓
ew	谁
ewi	瞬
ewo	吮
ewu	顺
ewv	楯
ex	双
exa	孀
exv	爽
ez	少
eza	绍
ezi	捎
ezo	烧
ezu	稍
ezv	梢
f	这
fb	追
fba	坠
fbi	锥
fbo	惴
fbv	赘
fd	周
fda	洲
fdi	胄
fdo	州
fdu	皱
fdv	否
fe	着
fea	浙
fei	折
feo	遮
feu	者
fev	辙
ff	反
ffa	泛
ffi	范
ffo	烦
ffu	饭
ffv	梵
fgi	拽
fgv	转
fha	翟
fhi	摘
fho	宅
fhu	祭
fj	服
fja	妇
fji	付
fjo	府
fju	复
fjv	副
fk	之
fka	治
fki	指
fko	只
fku	知
fkv	至
fl	桌
fla	浊
fli	捉
flo	着
flv	酌
fm	装
fma	奘
fmi	撞
fmo	状
fmv	桩
fn	分
fna	纷
fni	份
fno	粉
fnu	氛
fnv	奋
fp	放
fpa	防
fpi	仿
fpo	方
fpu	彷
fpv	坊
fq	抓
fqi	挝
fqu	爪
fqv	髽
fr	风
fra	缝
fri	峰
fro	疯
fru	凤
frv	丰
fs	发
fsa	法
fsi	罚
fso	炸
fsu	乏
fsv	札
ft	转
fta	赚
fti	撰
fto	啭
ftu	篆
ftv	专
fw	飞
fwa	费
fwi	非
fwo	废
fwu	肥
fwv	匪
fx	装
fxa	奘
fxi	撞
fxo	状
fxv	桩
fy	中
fya	终
fyi	众
fyo	衷
fyu	种
fyv	柊
fz	找
fza	召
fzi	招
fzo	照
fzu	朝
fzv	赵
g	个
gb	规
gba	癸
gbi	归
gbo	跪
gbu	鬼
gbv	桂
gd	够
gda	购
gdi	钩
gdo	诟
gdu	狗
gdv	构
ge	各
gea	隔
gei	葛
geo	割
geu	胳
gev	哥
gf	干
gfa	敢
gfi	擀
gfo	赣
gfu	肝
gfv	感
gg	乖
gga	夬
ggi	拐
ggo	怪
gh	该
gha	改
ghi	钙
gho	盖
ghu	胲
ghv	概
gj	古
gja	姑
gji	固
gjo	雇
gju	故
gjv	顾
gl	过
gla	涡
gli	国
glo	郭
glv	聒
gm	光
gma	潢
gmo	广
gmu	逛
gmv	桄
gn	跟
gna	艮
gni	茛
gno	哏
gnv	根
gp	刚
gpa	港
gpi	钢
gpo	戆
gpu	缸
gpv	杠
gq	挂
gqi	括
gqo	寡
gqu	刮
gqv	卦
gr	更
gra	颈
gro	庚
gru	鲠
grv	梗
gs	嘎
gsa	尕
gsi	伽
gso	噶
gsu	旮
gsv	尬
gt	关
gta	观
gti	鹳
gto	官
gtu	管
gtv	棺
gw	给
gwa	滚
gwo	衮
gwu	鲧
gwv	棍
gx	光
gxa	潢
gxo	广
gxu	逛
gxv	桄
gy	共
gya	弓
gyi	供
gyo	宫
gyu	公
gyv	工
gz	高
gza	缟
gzi	搞
gzo	糕
gzu	告
gzv	槁
h	和
hb	会
hba	汇
hbi	回
hbo	恢
hbu	毁
hbv	灰
hd	后
hdi	候
hdo	喉
hdu	猴
hdv	厚
he	合
hea	河
hei	何
heo	喝
heu	禾
hev	核
hf	汉
hfa	汗
hfi	含
hfo	喊
hfu	韩
hfv	酣
hg	坏
hga	淮
hgo	怀
hgu	徊
hgv	槐
hh	还
hha	海
hhi	骸
hho	害
hhu	氦
hhv	醢
hj	胡
hja	湖
hji	护
hjo	户
hju	乎
hjv	互
hl	或
hla	活
hli	获
hlo	火
hlv	霍
hm	黄
hma	隍
hmi	荒
hmo	慌
hmu	皇
hn	很
hno	恨
hnu	狠
hp	行
hpa	沆
hpo	吭
hpu	航
hpv	杭
hq	话
hqa	滑
hqi	化
hqo	哗
hqu	猾
hqv	划
hr	横
hra	姮
hri	蘅
hro	哼
hru	衡
hrv	珩
hs	哈
hsi	蛤
hso	呵
ht	换
hta	缓
hti	患
hto	唤
htu	奂
htv	还
hw	黑
hwa	混
hwi	荤
hwo	嘿
hwu	昏
hwv	魂
hx	黄
hxa	隍
hxi	荒
hxo	慌
hxu	皇
hy	红
hya	洪
hyi	虹
hyo	宏
hyu	訇
hyv	轰
hz	好
hza	浩
hzi	蒿
hzo	号
hzu	皓
hzv	耗
j	就
jb	进
jba	尽
jbi	金
jbo	谨
jbu	近
jbv	禁
jc	叫
jca	缴
jci	焦
jco	交
jcu	教
jcv	较
jd	接
jda	姐
jdi	节
jdo	竭
jdu	解
jdv	杰
je	车
jea	澈
jei	撤
jeo	㬚
jeu	彻
jev	坼
jf	产
jfa	缠
jfi	掺
jfo	颤
jfu	馋
jfv	刬
jg	经
jga	劲
jgi	警
jgo	竟
jgu	径
jgv	静
jh	决
jha	绝
jhi	拆
jho	觉
jhu	角
jhv	厥
jj	出
jja	除
jji	储
jjo	初
jju	处
jjv	厨
jk	即
jka	既
jki	技
jko	记
jku	几
jkv	机
jl	局
jla	居
jli	据
jlo	举
jlu	句
jlv	巨
jm	间
jma	建
jmi	见
jmo	减
jmu	简
jmv	检
jn	陈
jna	沉
jni	尘
jno	晨
jnu	称
jnv	臣
jp	长
jpa	娼
jpi	常
jpo	唱
jpu	肠
jpv	场
jq	久
jqa	酒
jqi	旧
jqo	究
jqu	九
jqv	救
jr	成
jra	承
jri	撑
jro	呈
jru	称
jrv	城
js	加
jsa	架
jsi	假
jso	家
jsu	胛
jsv	夹
jt	卷
jta	绢
jti	捐
jto	眷
jtu	狷
jtv	鄄
jw	均
jwa	纯
jwi	俊
jwo	军
jwu	龟
jwv	春
jx	将
jxa	江
jxi	蒋
jxo	讲
jxu	鳉
jxv	匠
jya	泂
jyi	迥
jyo	窘
jyu	颎
jyv	坰
jz	超
jza	潮
jzi	抄
jzo	炒
jzu	朝
jzv	耖
k	可
kb	亏
kba	溃
kbi	葵
kbo	愧
kbu	魁
kbv	奎
kd	口
kda	𫸩
kdi	扣
kdo	叩
kdu	筘
ke	克
kea	渴
kei	颗
keo	客
keu	科
kev	壳
kf	看
kfi	侃
kfo	阚
kfu	衎
kfv	堪
kg	快
kga	浍
kgi	会
kgo	哙
kgu	筷
kgv	块
kh	开
khi	凯
kho	慨
khv	楷
kj	哭
kja	绔
kji	苦
kjo	库
kjv	酷
kl	扩
kli	括
klo	阔
klu	适
klv	栝
km	况
kma	纩
kmi	眶
kmo	旷
kmu	狂
kmv	框
kn	肯
kna	恳
kni	龈
kno	啃
knv	硍
kp	抗
kpi	扛
kpo	康
kpu	𩾌
kpv	𡐓
kq	夸
kqa	姱
kqi	挎
kqo	跨
kqu	胯
kqv	垮
kr	坑
kri	铿
kro	吭
krv	硁
ks	卡
kso	咖
ksu	胩
kt	宽
kti	髋
ktv	款
kw	困
kwa	婫
kwi	捆
kwo	昆
kwu	鲲
kwv	坤
kx	况
kxa	纩
kxi	眶
kxo	旷
kxu	狂
kxv	框
ky	空
kya	孔
kyi	控
kyu	箜
kyv	恐
kz	靠
kza	尻
kzi	拷
kzo	烤
kzu	考
kzv	栲
l	了
lb	林
lba	淋
lbi	临
lbo	麟
lbu	鳞
lbv	琳
lc	聊
lca	辽
lci	僚
lco	料
lcu	獠
lcv	尥
ld	楼
lda	漏
ldi	搂
ldo	咧
ldu	猎
ldv	列
le	乐
lea	泐
lei	仂
leo	嘞
leu	肋
lev	勒
lf	兰
lfa	滥
lfi	蓝
lfo	烂
lfu	篮
lfv	栏
lg	领
lga	灵
lgi	令
lgo	另
lgu	鲮
lgv	零
lh	来
lha	濑
lhi	略
lho	癞
lhu	籁
lhv	赖
lj	路
lja	陆
lji	卢
ljo	炉
lju	鲁
ljv	露
lk	里
lka	力
lki	例
lko	立
lku	利
lkv	理
ll	落
lla	绿
lli	罗
llo	率
llu	律
llv	榈
lm	连
lma	练
lmi	莲
lmo	恋
lmu	脸
lmv	联
lp	浪
lpi	螂
lpo	朗
lpu	狼
lpv	琅
lq	刘
lqa	流
lqi	镏
lqo	六
lqu	留
lqv	柳
lr	冷
lri	崚
lro	愣
lrv	棱
ls	拉
lsa	邋
lsi	俩
lso	啦
lsu	腊
lsv	垃
lt	乱
lta	滦
lto	峦
ltu	卵
lw	类
lwa	泪
lwi	累
lwo	论
lwu	肋
lwv	轮
lx	两
lxa	梁
lxi	俩
lxo	量
lxu	魉
lxv	辆
ly	龙
lya	隆
lyi	拢
lyo	咙
lyu	笼
lyv	垄
lz	老
lza	姥
lzi	劳
lzo	牢
lzu	乐
lzv	酪
m	没
mb	民
mba	泯
mbi	皿
mbo	闽
mbu	敏
mbv	玟
mc	秒
mca	妙
mci	苗
mco	庙
mcu	邈
mcv	杪
md	某
mda	牟
mdi	眸
mdo	谋
mdu	篾
mdv	灭
me	么
meo	麽
mev	末
mf	满
mfa	漫
mfi	瞒
mfo	慢
mfu	馒
mfv	埋
mg	名
mga	溟
mgi	命
mgo	明
mgv	酩
mh	买
mhi	荬
mho	唛
mhu	卖
mhv	埋
mj	目
mja	母
mji	幕
mjo	亩
mju	牧
mjv	木
mk	米
mka	弥
mki	眯
mko	密
mku	秘
mkv	醚
ml	摸
mla	漠
mli	莫
mlo	魔
mlu	膜
mlv	末
mm	面
mma	绵
mmi	眠
mmo	黾
mmu	免
mmv	棉
mn	们
mna	懑
mni	扪
mno	门
mnv	鞔
mp	忙
mpa	漭
mpi	茫
mpo	盲
mpu	牤
mpv	硭
mq	谬
mqa	缪
mr	梦
mra	孟
mri	蒙
mro	盟
mru	猛
mrv	檬
ms	吗
msa	妈
msi	抹
mso	嘛
msu	犸
msv	码
mw	每
mwa	妹
mwi	嵋
mwo	美
mwu	魅
mwv	梅
mz	毛
mza	矛
mzi	冒
mzo	袤
mzu	贸
mzv	髦
n	你
nb	您
nbi	恁
nc	鸟
nca	尿
nci	茑
ncu	袅
nd	捏
nda	涅
ndi	孽
ndo	蹑
ndu	臬
ndv	聂
ne	呢
nea	那
neo	讷
nf	难
nfa	婻
nfi	男
nfo	喃
nfu	南
nfv	楠
ng	宁
nga	泞
ngi	拧
ngo	凝
ngu	狞
ngv	柠
nh	乃
nha	奶
nhi	虐
nho	疟
nhu	氖
nhv	耐
nj	怒
nja	奴
nji	傉
njo	呶
nju	笯
nk	泥
nka	尼
nki	拟
nko	呢
nku	腻
nkv	匿
nl	女
nla	娜
nli	挪
nlo	诺
nlu	衄
nlv	恧
nm	年
nmi	念
nmo	粘
nmu	黏
nmv	廿
nn	嫩
nna	媆
nni	恁
npi	攮
npo	囔
npu	馕
npv	囊
nq	牛
nqa	妞
nqi	扭
nqo	忸
nqu	狃
nqv	杻
nr	能
ns	那
nsa	纳
nsi	拿
nso	哪
nsu	南
nt	暖
nw	内
nwa	那
nwo	哪
nwu	馁
nx	娘
nxv	酿
ny	弄
nya	浓
nyi	侬
nyo	农
nyu	脓
nyv	𬪩
nz	闹
nza	淖
nzi	挠
nzo	恼
nzu	脑
nzv	孬
p	平
pb	品
pba	姘
pbi	拼
pbu	贫
pbv	聘
pc	票
pca	漂
pci	瞟
pco	嘌
pcu	膘
pcv	飘
pd	撇
pdi	苤
pdo	瞥
pdu	氕
pdv	垺
pf	盘
pfa	潘
pfi	盼
pfo	判
pfu	磐
pfv	攀
pg	凭
pga	屏
pgi	萍
pgo	瓶
pgu	乒
pgv	坪
ph	排
pha	派
phi	拍
pho	哌
phu	牌
pj	普
pja	浦
pji	扑
pjo	谱
pju	脯
pjv	朴
pk	批
pka	皮
pki	披
pko	疲
pku	脾
pkv	匹
pl	破
pla	婆
pli	钋
plo	跛
plu	迫
plv	坡
pm	片
pma	骗
pmi	偏
pmo	翩
pmu	篇
pmv	楩
pn	盆
pna	湓
pno	喷
pp	旁
ppa	滂
ppi	螃
ppo	庞
ppu	胖
ppv	磅
pr	碰
pra	澎
pri	捧
pro	烹
pru	朋
prv	棚
ps	怕
psa	潖
psi	帕
pso	啪
psu	爬
psv	琶
pw	配
pwa	陪
pwi	佩
pwo	呸
pwu	胚
pwv	培
pz	跑
pza	泡
pzi	抛
pzo	炮
pzu	刨
pzv	匏
q	去
qb	亲
qba	沁
qbi	侵
qbo	寝
qbv	秦
qc	桥
qca	缲
qci	瞧
qco	悄
qcu	乔
qcv	巧
qd	且
qdi	茄
qdo	窃
qdu	箧
qdv	切
qe	着
qea	浙
qei	折
qeo	遮
qeu	者
qev	辙
qf	占
qfa	展
qfi	战
qfo	站
qfu	詹
qfv	斩
qg	请
qga	清
qgi	倾
qgo	情
qgu	卿
qgv	轻
qh	却
qha	翟
qhi	摘
qho	宅
qhu	缺
qhv	确
qj	主
qja	注
qji	住
qjo	祝
qju	朱
qjv	逐
qk	起
qka	汽
qki	企
qko	齐
qku	气
qkv	其
ql	区
qla	屈
qli	曲
qlo	祛
qlu	躯
qlv	取
qm	前
qma	潜
qmi	钱
qmo	谦
qmu	千
qmv	牵
qn	真
qna	阵
qni	镇
qno	诊
qnu	朕
qnv	震
qp	张
qpa	涨
qpi	掌
qpo	章
qpu	胀
qpv	丈
qq	求
qqa	泅
qqi	囚
qqo	酋
qqu	秋
qqv	球
qr	正
qra	烝
qri	挣
qro	证
qru	争
qrv	整
qs	恰
qsa	洽
qsi	卡
qso	袷
qt	全
qta	劝
qti	圈
qto	券
qtu	泉
qtv	权
qw	群
qwa	逡
qwi	囷
qwo	准
qwu	肫
qx	强
qxa	戕
qxi	抢
qxo	呛
qxu	腔
qxv	枪
qy	穷
qya	嬛
qyi	茕
qyo	穹
qyu	筇
qyv	琼
qz	找
qza	召
qzi	招
qzo	照
qzu	朝
qzv	赵
r	人
rb	瑞
rba	汭
rbi	锐
rbv	枘
rd	肉
rda	柔
rdi	揉
rdo	蹂
rdv	鞣
re	热
rei	惹
reo	喏
rf	然
rfa	染
rfi	冉
rfo	燃
rfv	髯
rj	如
rja	汝
rji	儒
rjo	褥
rju	入
rjv	辱
rk	日
rka	驲
rl	若
rla	弱
rli	偌
rlu	箬
rn	任
rna	忍
rni	仁
rno	认
rnu	壬
rnv	韧
rp	让
rpa	瀼
rpi	攘
rpo	嚷
rpu	穰
rpv	壤
rr	仍
rri	扔
rt	软
rta	阮
rtv	堧
rw	润
rwo	闰
ry	容
rya	溶
ryi	荣
ryo	熔
ryv	融
rz	绕
rza	娆
rzi	扰
rzu	饶
rzv	桡
s	三
sb	随
sba	隋
sbi	岁
sbo	虽
sbu	穗
sbv	碎
sd	搜
sda	溲
sdi	薮
sdo	嗖
sdu	馊
se	色
sea	涩
sei	铯
seo	塞
seu	啬
sev	瑟
sf	散
sfa	叁
sfi	伞
sfo	糁
sfu	馓
sh	赛
shi	思
sho	塞
shu	腮
sj	苏
sja	肃
sji	俗
sjo	诉
sju	稣
sjv	速
sk	四
ska	司
ski	似
sko	嗣
sku	私
skv	死
sl	所
sla	缩
sli	锁
